No,Nama Pasar,Alamat,Kecamatan,Koordinat,Timb. Pegas,Timb. Meja,Timb. Elektronik,Timb. Sentisimal,Timb. Bobot Ingsut,Neraca,Total UTTP,Total Pedagang,Tahun Tera Ulang
"1,Cisoka,""Jl. Ps. Cisoka No.44, Cisoka, Kec. Cisoka, Kabupaten Tangerang, Banten 15730"",Cisoka,""-6.26435, 106.42592"",77,30,87,1,0,0,195,146,2025"
"2,Curug,""Jl. Raya Curug, Curug Wetan, Kec. Curug, Kabupaten Tangerang, Banten 15810"",Curug,""-6.26100, 106.55858"",60,76,107,1,4,3,251,201,2025"
"3,Mauk,""East Mauk, Mauk, Tangerang Regency, Banten 15530"",Mauk,""-6.06044, 106.51129"",80,10,71,0,0,0,161,148,2025"
"4,Cikupa,""Jl. Raya Serang, Cikupa, Kec. Cikupa, Kabupaten Tangerang, Banten 15710"",Cikupa,""-6.22907, 106.51981"",36,88,130,0,2,1,257,229,2025"
"5,Pasar Kemis,""RGPJ+FJX, Jalan Raya, Sukaasih, Pasar Kemis, Tangerang Regency, Banten 15560"",Pasar Kemis,""-6.16365, 106.53155"",54,48,72,0,0,0,174,139,2025"
"6,Segitiga Balaraja,""Jl. Raya Serang G No.96, Balaraja, Kec. Balaraja, Kabupaten Tangerang, Banten 15610"",Balaraja,""-6.19140, 106.46280"",4,9,7,0,1,0,21,17,2025"
"7,Kronjo,""WCMC+JG3, Pasilian, Kronjo, Tangerang Regency, Banten 15550"",Kronjo,""-6.06563, 106.42133"",70,13,41,1,0,0,125,108,2025"
"8,Korelet,""MGWG+W3M, Jl. Kp. Ranca Serdang, Ranca Iyuh, Kec. Panongan, Kabupaten Tangerang, Banten 15270"",Panongan,""-6.30259, 106.52514"",20,6,13,1,0,1,41,36,2025"
"9,TPI Kronjo,""Jl. Pelabuhan Nelayan No.1, Kronjo, Tangerang Regency, Banten 15550"",Kronjo,""-6.05447, 106.42771"",19,0,12,0,0,0,31,28,2025"
"10,Adiyasa,""Jalan Jeruk Taman Adiyasa No.86, Cikasungka, Kec. Solear, Kabupaten Tangerang, Banten 15730"",Solear,""-6.32651, 106.42080"",53,9,65,0,0,0,127,115,2025"
"11,Kelapa Dua,""Jl. Dayung Raya, Klp. Dua, Kecamatan Kelapa Dua, Kabupaten Tangerang, Banten 15810"",Kelapa Dua,""-6.23509, 106.62526"",35,13,120,0,1,0,169,143,2025"
"12,Bojong Nangka,""Jl. Komp. Dasana Indah No.7, Bojong Nangka, Kecamatan Kelapa Dua, Kabupaten Tangerang, Banten 15810"",Kelapa Dua,""-6.25372, 106.59438"",56,23,88,0,0,0,167,138,2025"
"13,Kresek,""Kresek, Tangerang Regency, Banten 15620"",Kresek,""-6.13125, 106.37941"",191,12,34,0,0,0,237,184,2025"
